"index","experiment_id","task_type","categorical_scheme","feature_method","n_components","model_name","backend","seed","expected_experiment_dir","experiment_dir","resume_match_type","already_complete","will_run"
1,"EXP001_binary_PCAk10_glmnet_ridge_seed2026","binary","three_stage","PCA",10,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP001_binary_PCAk10_glmnet_ridge_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP001_binary_PCAk10_glmnet_ridge_seed2026","exact",TRUE,FALSE
2,"EXP002_binary_PCAk10_glmnet_elasticnet_seed2026","binary","three_stage","PCA",10,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP002_binary_PCAk10_glmnet_elasticnet_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP002_binary_PCAk10_glmnet_elasticnet_seed2026","exact",TRUE,FALSE
3,"EXP003_binary_PCAk10_glmnet_lasso_seed2026","binary","three_stage","PCA",10,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP003_binary_PCAk10_glmnet_lasso_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP003_binary_PCAk10_glmnet_lasso_seed2026","exact",TRUE,FALSE
4,"EXP004_binary_PCAk10_xgboost_seed2026","binary","three_stage","PCA",10,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP004_binary_PCAk10_xgboost_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP004_binary_PCAk10_xgboost_seed2026","exact",TRUE,FALSE
5,"EXP005_binary_PCAk20_glmnet_ridge_seed2026","binary","three_stage","PCA",20,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP005_binary_PCAk20_glmnet_ridge_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP005_binary_PCAk20_glmnet_ridge_seed2026","exact",TRUE,FALSE
6,"EXP006_binary_PCAk20_glmnet_elasticnet_seed2026","binary","three_stage","PCA",20,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP006_binary_PCAk20_glmnet_elasticnet_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP006_binary_PCAk20_glmnet_elasticnet_seed2026","exact",TRUE,FALSE
7,"EXP007_binary_PCAk20_glmnet_lasso_seed2026","binary","three_stage","PCA",20,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP007_binary_PCAk20_glmnet_lasso_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP007_binary_PCAk20_glmnet_lasso_seed2026","exact",TRUE,FALSE
8,"EXP008_binary_PCAk20_xgboost_seed2026","binary","three_stage","PCA",20,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP008_binary_PCAk20_xgboost_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP008_binary_PCAk20_xgboost_seed2026","exact",TRUE,FALSE
9,"EXP009_binary_PCAk50_glmnet_ridge_seed2026","binary","three_stage","PCA",50,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP009_binary_PCAk50_glmnet_ridge_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP009_binary_PCAk50_glmnet_ridge_seed2026","exact",TRUE,FALSE
10,"EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","binary","three_stage","PCA",50,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","exact",TRUE,FALSE
